10|05|A|Includes Machine Guns; Brushes, Machine Gun and Pistol.|Excludes Turrets, Aircraft.||Guns, through 30mm|2001169|
10|10|A|Includes Breech Mechanisms; Mounts; Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto-Loading or Automatic-Firing.|||Guns, over 30mm up to 75mm|1974091|
10|15|A|Includes Breech Mechanisms; Mounts; Rammers.|||Guns, 75mm through 125mm|1974091|
10|20|A|Includes Breech Mechanisms; Power Drives; Gun Shields.|||Guns, over 125mm through 150mm|1974091|
10|25|A|Includes Firing Platforms; Mounts; Gun Shields.|||Guns, over 150mm through 200mm|1974091|
10|30|A|Includes Gun Yokes; Rammers; Reflectors.|||Guns, over 200mm through 300mm|1974091|
10|35|A|Includes Breech Mechanisms; Training Gears; Power Drives.|||Guns, over 300mm|1974091|
10|40|A|Includes Flame Throwers; Smoke Generators.|||Chemical Weapons and Equipment|1974091|
10|45|A|Includes Depth Charge Tracks; Torpedo Tubes.|||Launchers, Torpedo and Depth Charge|1974091|
10|55|A|Includes Airborne Rocket Launchers adaptable to guided missile use.|Excludes Specifically designed Airborne Guided Missile Launchers; Jettisonable Rocket Launchers; Launcher Fairings designed for specific airframes; Rifle Grenade Launchers; Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto-Loading or Automatic Firing.||Launchers, Rocket and Pyrotechnic|1974091|
10|70|A|||Note-This class includes nets and booms for harbor defense only.|Nets and Booms, Ordnance|1974091|
10|75|A||||Degaussing and Mine Sweeping Equipment|1974091|
10|80|A|Includes Dummy Artillery, Aircraft and Vehicles; Garnished Nets.|||Camouflage and Deception Equipment|1974091|
10|90|A|Includes Components and Accessories used on or with weapons falling in two or more classes of Group 10.|||Assemblies Interchangeable Between Weapons in Two or More Classes|1974091|
10|95|A|Includes Line Throwing Guns; Catapult Guns; Bayonets; Saluting Guns; Signal Guns; Flare Guns; Barrage Balloons; Accessories, not elsewhere classifiable, for weapons in this group; Expendable Bomb Dispensers.|||Miscellaneous Weapons|1974091|
11|05|A|Includes Ballistic cases, tail assemblies, retardation devices, and other peculiar components which are not classifiable elsewhere.|Excludes Parachute canopies and canopy hardware.|Note-This class includes nuclear weapons (including bombs), which are designed to be dropped from an aircraft.|Nuclear Bombs|1974091|
11|10|A|Includes Ogive sections, body sections, bases, and other peculiar components which are not classifiable elsewhere.||Note-This class includes nuclear weapons which are designed to be propelled from a recoilless rifle, gun, howitzer, or the like, and which are not designed to be self-propelled.|Nuclear Projectiles|1974091|
11|15|A|Includes Components and parts peculiar to the warhead or warhead section, which are not classifiable in more specific classes.|Excludes Such components as fuzing and firing devices, nuclear components, high explosive components, classifiable in more specific classes, and items such as projectiles and bombs which include the entire outer case of a weapon.|Note-This class includes nuclear warheads (without or assembled with case sections, adaption kits, and/or fuzing and firing components) which are to be used in or with bombs, rockets, projectiles, missiles, demolition charges, or the like. Also includes case sections, nose cones, flare sections, center sections, and auxiliary structural components of missiles, rockets, and re-entry vehicles which are designed or constructed for exclusive use with or for housing of nuclear warheads and/or warhead sections.|Nuclear Warheads and Warhead Sections|1974091|
11|20|A|||Note-This class includes nuclear weapons which consist of depth charge bodies assembled with nuclear warheads. It includes training weapons and all specially designed components which are not classifiable elsewhere.|Nuclear Depth Charges|1976224|
11|25|A|Includes Outer cases, case sections, and other peculiar components, which are not classifiable elsewhere.||Note-This class includes nuclear weapons which are designed to be emplaced in or near a structure, area, or the like, which is to be destroyed. The weapons may include accessories.|Nuclear Demolition Charges|1974091|
11|27|A|Includes Components peculiar to assembled rockets which are not classifiable elsewhere.|Excludes Rocket Motors; Warhead Components; Rocket Components classified in other FSC classes.|Note-This class includes nuclear weapons, consisting of rocket bodies assembled with nuclear warheads, which comprise a single item of supply and are issued as such.|Nuclear Rockets|1974091|
11|30|A|||Note-This class includes collections of items used for the purpose of converting nuclear weapons from one configuration to another.|Conversion Kits, Nuclear Ordnance|1974091|
11|35|A|Includes such items as fuzes, power supplies, firing sets, x-units, cables, safing devices, adaption kits, and re-entry vehicle nuclear ordnance arming and fuzing systems.|||Fuzing and Firing Devices, Nuclear Ordnance|1974091|
11|40|A|Includes All components which contain or simulate nuclear active materials.|Excludes end items, such as bombs, projectiles, warheads, and the like.||Nuclear Components|1974091|
11|45|A|||Note-This class includes actual and simulated explosive and pyrotechnic components peculiar to all nuclear ordnance end items, such as bombs, demolition charges, rockets, projectiles, warheads, and related systems. Excluded from this class are all explosive and pyrotechnic components designed for other than nuclear ordnance applications.|Explosive and Pyrotechnic Components, Nuclear Ordnance|1974091|
11|90|A|Includes Specially designed trucks and trailers for nuclear ordnance; Specially designed slings and hoists; Operational, test, and setting devices, and cradles; Conditioning Kits and Sets, Controlled Environment.|Excludes Hand tools; Instruments for use on both nuclear ordnance and other equipment; Basic types of electrical and electronic test instruments, including those specially designed, such as ammeters, voltmeters, ohmmeters, multimeters, and similar instruments, as shown in the indexes in the FSC.||Specialized Test and Handling Equipment, Nuclear Ordnance|1974091|
11|95|A|Includes Items common to more than one class or items not properly fitting into the foregoing classes of nuclear ordnance.|||Miscellaneous Nuclear Ordnance|1974091|
12|10|A||||Fire Control Directors|1974091|
12|20|A||||Fire Control Computing Sights and Devices|1974091|
12|30|A|||Note-This class includes only complete fire control systems. Anything less than a complete system, such as individual end items, assemblies, parts, attachments, or accessories for use in fire control systems are classified in classes other than this class.|Fire Control Systems, Complete|1974091|
12|40|A|Includes Periscopes for Submarines; Range and Height Finders; Telescopic Sights; Optical Instruments Integrated with Fire Control Equipment.|||Optical Sighting and Ranging Equipment|1974091|
12|50|A||||Fire Control Stabilizing Mechanisms|1974091|
12|60|A|Includes Turret, Gun, Torpedo Mount, and Searchlight Indicating Equipment; Target Designating Equipment; Synchro Systems.|||Fire Control Designating and Indicating Equipment|1974091|
12|65|A|Includes Fire Control Transmitters, Transmitter-Receivers, Receivers, Receiver-Regulators.|Excludes Fire Control Transmitting and Receiving Equipment, Specially Designed for use on or with Fire Control Radar Equipment.||Fire Control Transmitting and Receiving Equipment, except Airborne|1974091|
12|70|A|Includes Turrets, Aircraft; Computers, specifically designed; Complete Gyro Mechanisms.|Excludes Gun Chargers; Ammunition Boxes; Gun Heaters; Field and Link Chutes; Ammunition Boosters; Gyro Components; Complete Fire Control Systems.||Aircraft Gunnery Fire Control Components|1974091|
